"supplier_name","country","city","vat_number","registration_number","supplier_code"
"RESISTENCIAS TOPE, SA","ES","SANT ANDREU DE LA BARCA",NA,"A-08110181","RESI09"
"LGAI TECHNOLOGICAL CENTER,SA","ES","BELLATERRA","A63207492",NA,"TEC809"
"IDE ELECTRIC SL","ES","ZUERA ZARAGOZA",NA,NA,"ELE506"
"ESINDUS SA","ES","MADRID","28058758",NA,"ESIN50"
"CDTI MINIST.DE INDUS. Y ENERGIA (ILO SPAIN)","ES","MADRID",NA,NA,"CDTI50"
"APLIQUEM MICROONES 21","ES","VALENCIA","B97770689",NA,"MIC195"
"LIBNOVA","ES","MADRID",NA,NA,"LIBN74"
"EDUARDO TALON","ES","BARCELONA","44023660G",NA,"ETA-07"
"SERTEC","ES","GETAFE","B81254880",NA,"SERT07"
"MEFABI S.L.","ES","VITORIA","B01370527",NA,"MEFA04"
"UNIVERSAL","ES","RIBARROJA DEL TURIA VALENCIA",NA,NA,"UNI420"
"BTESA BROAD TELECOM","ES","Leganes","A81311573",NA,"BTES01"
"EVERIS","ES","BARCELONA",NA,NA,"EVER16"
"LUCIANA LEVERATTO","ES","BARCELONA","X4173353A",NA,"LUCI04"
"AKHELEC SPAIN","ES","CASTELLDEFELS","3852231060","X9864904C","AKHE02"
"UNIVERSITAT POLITECNICA DE CATALUNYA","ES","BARCELONA",NA,NA,"UNIV97"
"TEKNIKER","ES","Eibar","G20545729","F13","TEKN02"
"MICROLAN (SPAIN)","ES","HUARTE NAVARRA","B-31816234","B31816234","MIC-94"
"TEKNOSERVICE","ES","SEVILLA","B41485228",NA,"TEKN07"
"ROMPAL INGENIEROS SA","ES","HOSPITALET DE LLOBREGAT","A08934119","1528885662411","ROMP50"
"CADIELSA VALLADOLID SL","ES","VALLADOLID","B47092283","B47092283","CADI07"
"RAMEM","ES","TORREJON DE ARDOZ","A78278868",NA,"RAME02"
"ADDED VALUE SOLUTIONS","ES","ELGOIBAR","B20912408",NA,"AVS-03"
"SEVEN SOLUTIONS","ES","GRANADA","B18763979","ESB18763979","SEVE04"
"GENERAL CABLE (SPAIN)","ES","BARCELONA","B08102790",NA,"CABL75"
"CADINOX","ES","BELAUNTZA","A20076105",NA,"CADI04"
"THE VACUUM PROJECTS SLU","ES","Paterna","B97704126",NA,"TVP-02"
"TTI NORTE","ES","SANTANDER","B39385083",NA,"TTI-01"
"NORTEMECANICA S.A.","ES","CARRENO","A33771445","A33771445","NORT03"
"UNIVERSITY OF BASQUE COUNTRY (SGIKER)","ES","Leioa","Q4818001B",NA,"UNI422"
"ALTER TECHNOLOGY TUV NORD","ES","SEVILLA","A41990490",NA,"TEC478"
"TECNITEST INGENIEROS SL","ES","MADRID","B81767659",NA,"TECN66"
"INDRA SISTEMAS + HEWLETT-PACKARD (HP) + ADVANIA","ES","ALCOBENDAS (MADRID)",NA,NA,"GR2U10"
"BROAD TELECOM, SA","ES","Leganes","A81311573",NA,"BTES01"
"IDOM INGENIERIA SA + B+S INGENIEURS CONSEILS SA","ES","MADRID",NA,NA,"GR2U11"
"ANTEC S.A.","ES","PORTUGALETE","B95795985","466164210","ANTE01"
"TRINOS VACUUM-PROJECTS","ES","Paterna","B97704126",NA,"TVP-02"
"UNIVERSIDAD CARLOS III DE MADRID","ES","GETAFE",NA,NA,"UNI298"
"DESARROLLOS MECANICOS PRECISION (DMP)","ES","MENDARO","B75210203","468851494","DMP-01"
"GUNNEBO ESPANA","ES","MADRID","A61213989",NA,"GUNN03"
"CONSTRUCCIONS MECANIQUES SOLPEY SL","ES","SANT VICENC DE CASTELLET","B08518276","ESB08518276","SOLP75"
"ADIX INGENIERA SLU","ES","TOMELLOSO","-13337563","CIF FOR SPAIN","AIS-11"
"INSTALACIONES INABENSA","ES","ALCALA DE HENARES (MADRID)","A41694266",NA,"INAB01"
"PRECISGAL UTILLAJE SLU","ES","VIGO","B27719806","461271824","PUS-01"
"RYMSA RF SL","ES","ARGANDA DEL REY","B86728375","88695","RYMS50"
"3BYMESA","ES","ARGANDA DEL RAY (MADRID)",NA,NA,"BYME01"
"MECANICAS BOLEA","ES","CARTAGENA","A30618821",NA,"MECA83"
"RECICLADOS Y TRANSFORMADOS DE MARMOLES Y PIEDRAS SL","ES","CARAVACA DE LA CRUZ","B73706970",NA,"TRST90"
"SA De Electrificaciones y Suministros (SADES)","ES","BARCELONA","A08110330","460017551","SADE04"
"EMPRESARIOS AGRUPADOS","ES","MADRID","A80473424","A80473424","AGRU50"
"GMV SOLUCIONES GLOBALES INTERNET","ES","MADRID","A83057034","462279436","INT543"
"POSADA DE LA VILLA","ES","MADRID",NA,NA,"POSA02"
"CONSORTIUM : SAO-01 - ALS-07 - EIFF05","ES","ABANILLA",NA,NA,"GR3S77"
"SERTEC SL","ES","GETAFE","B81254880",NA,"SERT07"
"TRATAMIENTOS SUPERFICIALES IONTECH, S.A.","ES","OIARTZUN  GIPUZKOA",NA,NA,"TRAT02"
"LA IMPRENTA CG","ES","PATERNA (VALENCIA)","B96734108",NA,"IMPR48"
"--DUPLICATE SEE CSIC03--CSIC - CONSEJO SUPERIOR INV","ES","BELLATERA",NA,NA,"CSIC01"
